Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2017-10-31,209450.0,672400.0,279900.0,254900.0,196950.0,262500.0,359900.0,584900.0,629900.0,722000.0,399000.0,284900.0,337400.0,399900.0,289900.0,279000.0,675000.0,220107.0,735000.0,339900.0,194450.0,226000.0,324200.0
2017-11-30,212037.0,674900.0,269900.0,249900.0,195000.0,272900.0,361950.0,579000.0,689900.0,739900.0,399000.0,292450.0,350000.0,399900.0,289900.0,279900.0,649900.0,217900.0,729900.0,335000.0,199900.0,216500.0,324000.0
2017-12-31,214950.0,679900.0,284900.0,259900.0,214900.0,274973.5,364900.0,579450.0,699900.0,744450.0,399900.0,279900.0,367400.0,399900.0,316950.0,289900.0,622500.0,229500.0,799400.0,339900.0,199950.0,229000.0,309900.0
2018-01-31,209450.0,678905.0,282450.0,259900.0,214999.0,259900.0,359000.0,577498.5,705000.0,735000.0,399900.0,276700.0,352499.5,399900.0,332450.0,285000.0,562499.5,239916.0,799900.0,339900.0,199900.0,229000.0,324999.0
2018-02-28,210000.0,678905.0,289900.0,265900.0,201000.0,259900.0,355000.0,584900.0,709900.0,735000.0,399900.0,279000.0,349900.0,397750.0,346950.0,285000.0,597700.0,240000.0,797000.0,349900.0,199000.0,229950.0,324900.0
2018-03-31,204950.0,699000.0,288450.0,265900.0,199900.0,257825.0,354450.0,549000.0,729000.0,689000.0,399950.0,285000.0,344400.0,395000.0,347000.0,299900.0,539999.0,248000.0,749950.0,342500.0,198700.0,234500.0,319000.0
2018-04-30,207526.5,727000.0,279975.0,271835.0,204950.0,254900.0,359000.0,529000.0,736950.0,699000.0,417444.0,299900.0,349000.0,396607.0,309000.0,294992.0,549000.0,254900.0,748800.0,339900.0,218500.0,228250.0,332500.0
2018-05-31,213000.0,749900.0,275000.0,279900.0,202450.0,274900.0,366950.0,529900.0,732400.0,699000.0,414700.0,296900.0,349999.0,399900.0,317450.0,289700.0,612450.0,249900.0,765000.0,348000.0,220000.0,239900.0,325000.0
2018-06-30,230000.0,732450.0,269900.0,289341.0,205000.0,274900.0,379950.0,529900.0,699900.0,699900.0,409984.0,299999.0,350000.0,400000.0,304900.0,285000.0,637400.0,249900.0,775000.0,334900.0,224500.0,249000.0,339900.0
2018-07-31,229900.0,707500.0,277000.0,287713.0,202450.0,263712.5,372450.0,525000.0,717000.0,697000.0,400000.0,295000.0,349000.0,397253.5,304900.0,289900.0,599900.0,249900.0,765000.0,332400.0,235000.0,250000.0,333000.0
2018-08-31,224900.0,720000.0,255000.0,279900.0,204900.0,261962.5,386950.0,514900.0,675500.0,679900.0,399900.0,285500.0,354900.0,389700.0,299900.0,295000.0,599900.0,249900.0,789900.0,329900.0,229250.0,248900.0,334000.0
2018-09-30,220000.0,719900.0,259900.0,292900.0,205000.0,270000.0,379000.0,515400.0,699000.0,677477.5,399900.0,296908.0,359000.0,399000.0,289000.0,293000.0,629900.0,249227.5,779450.0,328950.0,219900.0,246374.5,340000.0
2018-10-31,217500.0,699900.0,274900.0,279900.0,200000.0,267750.0,371750.0,519500.0,675500.0,675000.0,399500.0,287499.5,350000.0,399900.0,289450.0,289900.0,649900.0,239900.0,774950.0,321250.0,219900.0,248374.5,331000.0
2018-11-30,221950.0,689900.0,289900.0,279900.0,219950.0,261200.0,389900.0,515900.0,685900.0,649000.0,399400.0,299900.0,347500.0,399900.0,302400.0,289900.0,634850.0,245000.0,765000.0,315000.0,214900.0,259000.0,331000.0
2018-12-31,220900.0,694745.0,289900.0,279500.0,215000.0,269900.0,382000.0,509900.0,685450.0,649000.0,408800.0,286065.0,349000.0,399000.0,339900.0,279900.0,675000.0,249900.0,765000.0,315000.0,210000.0,249450.0,349900.0
2019-01-31,225000.0,679949.5,282000.0,279900.0,215000.0,269900.0,415000.0,506900.5,690400.0,650000.0,417400.0,296995.0,345000.0,399000.0,338900.0,275000.0,664900.0,247400.0,754450.0,323500.0,209900.0,256500.0,349900.0
2019-02-28,225000.0,699000.0,292450.0,281109.0,209900.0,267500.0,,499000.0,714950.0,649750.0,409900.0,299000.0,350000.0,397400.0,299900.0,275000.0,634850.0,249500.0,775000.0,329450.0,220500.0,260000.0,347750.0
2019-03-31,229900.0,669483.0,289900.0,281109.0,208950.0,264950.0,,495000.0,733485.0,625000.0,419900.0,289900.0,350000.0,393253.5,299000.0,274650.0,619000.0,245000.0,795000.0,338950.0,225000.0,275000.0,349900.0
2019-04-30,230000.0,697000.0,299900.0,282609.0,208000.0,270500.0,,477500.0,739450.0,622300.0,417350.0,296500.0,349000.0,414900.0,322900.0,275000.0,649000.0,249998.5,792450.0,339900.0,224900.0,286000.0,356950.0
2019-05-31,229900.0,700494.5,299000.0,294950.0,201500.0,274227.0,,475000.0,725000.0,675000.0,419900.0,289900.0,349900.0,419900.0,299900.0,282500.0,641925.0,259900.0,797000.0,338700.0,219900.0,271000.0,349900.0
2019-06-30,232500.0,699900.0,289000.0,294950.0,212000.0,275000.0,,469950.0,759900.0,650000.0,430000.0,286900.0,359000.0,424900.0,299900.0,285000.0,599900.0,259900.0,789000.0,330000.0,219900.0,260000.0,345000.0
2019-07-31,238505.0,694900.0,289950.0,294900.0,210950.0,279900.0,,450000.0,744950.0,685000.0,432450.0,293000.0,359450.0,419900.0,299900.0,287000.0,619950.0,259900.0,797000.0,329900.0,212949.5,249000.0,344950.0
2019-08-31,235000.0,694950.0,299900.0,299900.0,224900.0,274900.0,,465000.0,722400.0,652000.0,438000.0,289400.0,360000.0,400000.0,289900.0,287000.0,599900.0,259000.0,812500.0,325000.0,215000.0,254000.0,349999.0
